offsetHex,offsetDecimal,BASELINE,POPULACAO_MAIS_1,CAPACIDADE_AUMENTOU,POPULACAO_MAIS_1_NOVAMENTE,POPULACAO_MENOS_1
0x0088,136,180,172,9,133,160
0x0089,137,19,19,18,19,6
0x008B,139,17,22,43,77,166
0x0104,260,77,255,145,227,96
0x0105,261,82,231,106,17,75
0x0106,262,180,180,181,182,182
0x0458,1112,205,165,73,204,199
0x045B,1115,6,23,192,45,66
0x053C,1340,14,150,110,245,234
0x053D,1341,151,219,73,1,62
0x053E,1342,179,180,181,182,182
0x0548,1352,0,0,0,0,77
0x0549,1353,0,0,0,0,2
0x054C,1356,0,0,0,0,4
0x054E,1358,0,0,0,0,147
0x0550,1360,0,0,0,0,227
0x0551,1361,0,0,0,0,1
0x0552,1362,0,0,0,0,114
