offsetHex,offsetDecimal,type,BASELINE,POPULACAO_MAIS_1,CAPACIDADE_AUMENTOU,POPULACAO_MAIS_1_NOVAMENTE,POPULACAO_MENOS_1
0x0085,133,Int32,-1275068416,-1409286144,150994944,-2063597568,-1610612736
0x0085,133,UInt32,3019898880,2885681152,150994944,2231369728,2684354560
0x0085,133,Float32,-1.1920929E-07,-1.8189894E-12,1.540744E-33,-6.018531E-36,-1.0842022E-19
0x0086,134,Int32,330563584,330039296,302579712,327483392,111149056
0x0086,134,UInt32,330563584,330039296,302579712,327483392,111149056
0x0086,134,Float32,4.543839E-27,4.3418904E-27,4.322958E-28,3.357392E-27,6.018531E-35
0x0087,135,Int16,-19456,-21504,2304,-31488,-24576
0x0087,135,UInt16,46080,44032,2304,34048,40960
0x0087,135,Int32,68400128,68398080,68290816,68388096,67543040
0x0087,135,UInt32,68400128,68398080,68290816,68388096,67543040
0x0087,135,Float32,1.7362419E-36,1.7358745E-36,1.716635E-36,1.7340838E-36,1.5825093E-36
0x0088,136,UInt8,180,172,9,133,160
0x0088,136,Int16,5044,5036,4617,4997,1696
0x0088,136,UInt16,5044,5036,4617,4997,1696
0x0088,136,Int32,285479860,369365932,721687049,1292112773,-1509685600
0x0088,136,UInt32,285479860,369365932,721687049,1292112773,2785281696
0x0088,136,Float32,1.0419035E-28,1.0669082E-25,4.692085E-13,138491980,-4.580568E-16
0x0089,137,UInt8,19,19,18,19,6
0x0089,137,Int16,1043,1043,1042,1043,1030
0x0089,137,UInt16,1043,1043,1042,1043,1030
0x0089,137,Int32,1115155,1442835,2819090,5047315,10880006
0x0089,137,UInt32,1115155,1442835,2819090,5047315,10880006
0x0089,137,Float32,1.562665E-39,2.021842E-39,3.950386E-39,7.072795E-39,1.5246136E-38
0x008A,138,Int16,4356,5636,11012,19716,-23036
0x008A,138,UInt16,4356,5636,11012,19716,42500
0x008A,138,Int32,4356,5636,11012,19716,42500
0x008A,138,UInt32,4356,5636,11012,19716,42500
0x008A,138,Float32,6.104E-42,7.898E-42,1.5431E-41,2.7628E-41,5.9555E-41
0x008B,139,UInt8,17,22,43,77,166
0x008B,139,Int16,17,22,43,77,166
0x008B,139,UInt16,17,22,43,77,166
0x008B,139,Int32,17,22,43,77,166
0x008B,139,UInt32,17,22,43,77,166
0x008B,139,Float32,2.4E-44,3.1E-44,6E-44,1.08E-43,2.33E-43
0x0101,257,Int32,1292858248,-15764600,-1861258360,-485526648,1611625352
0x0101,257,UInt32,1292858248,4279202696,2433708936,3809440648,1611625352
0x0101,257,Float32,150419580,-1.9067948E+38,-1.1316312E-28,-2.6462093E+21,4.134702E+19
0x0102,258,Int32,1380781939,-402714765,1787891571,300093299,1264586611
0x0102,258,UInt32,1380781939,3892252531,1787891571,300093299,1264586611
0x0102,258,Float32,2.2018187E+11,-2.4089769E+24,8.76836E+25,3.5823806E-28,14684019
0x0103,259,Int16,19727,-241,-28401,-7409,24591
0x0103,259,UInt16,19727,65295,37135,58127,24591
0x0103,259,Int32,-1269674737,-1259864305,-1251307249,-1240341745,-1236574193
0x0103,259,UInt32,3025292559,3035102991,3043660047,3054625551,3058393103
0x0103,259,Float32,-1.9585808E-07,-4.3212682E-07,-8.738288E-07,-2.173885E-06,-3.030527E-06
0x0104,260,UInt8,77,255,145,227,96
0x0104,260,Int16,21069,-6145,27281,4579,19296
0x0104,260,UInt16,21069,59391,27281,4579,19296
0x0104,260,Int32,347361869,347400191,347433617,347476451,347491168
0x0104,260,UInt32,347361869,347400191,347433617,347476451,347491168
0x0104,260,Float32,1.8207817E-26,1.8266862E-26,1.8318362E-26,1.8384359E-26,1.8407034E-26
0x0105,261,UInt8,82,231,106,17,75
0x0105,261,Int16,-19374,-19225,-19094,-18927,-18869
0x0105,261,UInt16,46162,46311,46442,46609,46667
0x0105,261,Int32,-199969710,-199969561,-199969430,-199969263,-199969205
0x0105,261,UInt32,4094997586,4094997735,4094997866,4094998033,4094998091
0x0105,261,Float32,-4.71263E+31,-4.712702E+31,-4.712765E+31,-4.712846E+31,-4.712874E+31
0x0106,262,UInt8,180,180,181,182,182
0x0106,262,Int16,5300,5300,5301,5302,5302
0x0106,262,UInt16,5300,5300,5301,5302,5302
0x0106,262,Int32,32773300,32773300,32773301,32773302,32773302
0x0106,262,UInt32,32773300,32773300,32773301,32773302,32773302
0x0106,262,Float32,8.966115E-38,8.966115E-38,8.966116E-38,8.9661163E-38,8.9661163E-38
0x0455,1109,Int32,-855638016,-1526726656,1224736768,-872415232,-956301312
