field,sourceOffsetHex,targetOffsetHex,type,values,deltas,status
populationCurrent,0x0100,0x0016,UInt8,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x0016,Int16,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x0016,UInt16,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x0016,Int32,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x0016,UInt32,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCapacity,0x0100,0x0039,Float32,-40564819207303300000000000000000|-40564819207303300000000000000000|-10141204801825800000000000000000|-10141204801825800000000000000000|-10141204801825800000000000000000,0|+30423614405477500000000000000000|0|0,PADRAO_EXATO
populationCurrent,0x0100,0x004A,UInt8,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x004A,Int16,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x004A,UInt16,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x004A,Int32,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCurrent,0x0100,0x004A,UInt32,3|4|4|5|4,+1|0|+1|-1,PADRAO_EXATO
populationCapacity,0x0100,0x0063,Int32,0|0|16777216|16777216|16777216,0|+16777216|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0063,UInt32,0|0|16777216|16777216|16777216,0|+16777216|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0064,Int32,0|0|65536|65536|65536,0|+65536|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0064,UInt32,0|0|65536|65536|65536,0|+65536|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0065,Int16,0|0|256|256|256,0|+256|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0065,UInt16,0|0|256|256|256,0|+256|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0065,Int32,0|0|256|256|256,0|+256|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0065,UInt32,0|0|256|256|256,0|+256|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0066,UInt8,0|0|1|1|1,0|+1|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0066,Int16,0|0|1|1|1,0|+1|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0066,UInt16,0|0|1|1|1,0|+1|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0066,Int32,0|0|1|1|1,0|+1|0|0,PADRAO_EXATO
populationCapacity,0x0100,0x0066,UInt32,0|0|1|1|1,0|+1|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00CE,Int32,-1442840576|-1442840576|-1342177280|-1342177280|-1342177280,0|+100663296|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00CE,UInt32,2852126720|2852126720|2952790016|2952790016|2952790016,0|+100663296|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00CF,Int32,162136064|162136064|162529280|162529280|162529280,0|+393216|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00CF,UInt32,162136064|162136064|162529280|162529280|162529280,0|+393216|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D0,Int16,-22016|-22016|-20480|-20480|-20480,0|+1536|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D0,UInt16,43520|43520|45056|45056|45056,0|+1536|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D0,Int32,633344|633344|634880|634880|634880,0|+1536|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D0,UInt32,633344|633344|634880|634880|634880,0|+1536|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D1,UInt8,170|170|176|176|176,0|+6|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D1,Int16,2474|2474|2480|2480|2480,0|+6|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D1,UInt16,2474|2474|2480|2480|2480,0|+6|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D1,Int32,16779690|16779690|16779696|16779696|16779696,0|+6|0|0,PADRAO_EXATO
populationCapacity,0x04CC,0x00D1,UInt32,16779690|16779690|16779696|16779696|16779696,0|+6|0|0,PADRAO_EXATO
