phase,sourceOffsetHex,targetAddress,targetSize
BASELINE,0x0000,0x0054F7B0,1024
BASELINE,0x0020,0x01340DB0,1024
BASELINE,0x0040,0x0ED12D38,1024
BASELINE,0x0054,0x0F4E99D0,1024
BASELINE,0x00F8,0x0CF822D0,1024
BASELINE,0x0100,0x0F737300,1024
BASELINE,0x0120,0x006D0000,1024
BASELINE,0x0144,0x00610008,1024
BASELINE,0x0168,0x00550010,1024
BASELINE,0x018C,0x00490018,1024
BASELINE,0x0258,0x00050044,1024
BASELINE,0x0330,0x00450074,1024
BASELINE,0x03D0,0x0054E288,1024
BASELINE,0x0424,0x0F4E98E8,1024
BASELINE,0x04C4,0x0CF92F50,1024
BASELINE,0x04CC,0x0F190020,1024
BASELINE,0x04F8,0x0ED10C68,1024
BASELINE,0x04FC,0x0ED50020,1024
BASELINE,0x0500,0x00480048,1024
BASELINE,0x0520,0x0ED129B8,1024
BASELINE,0x0538,0x01341020,1024
BASELINE,0x0544,0x050B1070,1024
POPULACAO_MAIS_1,0x0000,0x0054F7B0,1024
POPULACAO_MAIS_1,0x0020,0x01340DB0,1024
POPULACAO_MAIS_1,0x0040,0x0ED12D38,1024
POPULACAO_MAIS_1,0x0054,0x0F4E99D0,1024
POPULACAO_MAIS_1,0x00F8,0x0CF822D0,1024
POPULACAO_MAIS_1,0x0100,0x0F737300,1024
POPULACAO_MAIS_1,0x0120,0x006D0000,1024
POPULACAO_MAIS_1,0x0144,0x00610008,1024
POPULACAO_MAIS_1,0x0168,0x00550010,1024
POPULACAO_MAIS_1,0x018C,0x00490018,1024
POPULACAO_MAIS_1,0x0258,0x00050044,1024
POPULACAO_MAIS_1,0x0330,0x00450074,1024
POPULACAO_MAIS_1,0x03D0,0x0054E288,1024
POPULACAO_MAIS_1,0x0424,0x0F4E98E8,1024
POPULACAO_MAIS_1,0x04C4,0x0CF92F50,1024
POPULACAO_MAIS_1,0x04CC,0x0F190020,1024
POPULACAO_MAIS_1,0x04F8,0x0ED10C68,1024
POPULACAO_MAIS_1,0x04FC,0x0ED50020,1024
POPULACAO_MAIS_1,0x0500,0x00480048,1024
POPULACAO_MAIS_1,0x0520,0x0ED129B8,1024
POPULACAO_MAIS_1,0x0538,0x01341020,1024
POPULACAO_MAIS_1,0x0544,0x050B1070,1024
CAPACIDADE_AUMENTOU,0x0000,0x0054F7B0,1024
CAPACIDADE_AUMENTOU,0x0020,0x01340DB0,1024
