offsetHex,offsetDecimal,type,values,deltas,pattern,status
0x0005,5,Int32,16777216|16777216|16777216|83886080|16777216,0|0|+67108864|-67108864,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0005,5,UInt32,16777216|16777216|16777216|83886080|16777216,0|0|+67108864|-67108864,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0006,6,Int32,65536|65536|65536|327680|65536,0|0|+262144|-262144,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0006,6,UInt32,65536|65536|65536|327680|65536,0|0|+262144|-262144,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0007,7,Int16,256|256|256|1280|256,0|0|+1024|-1024,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0007,7,UInt16,256|256|256|1280|256,0|0|+1024|-1024,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0007,7,Int32,256|256|256|1280|256,0|0|+1024|-1024,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0007,7,UInt32,256|256|256|1280|256,0|0|+1024|-1024,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0008,8,UInt8,1|1|1|5|1,0|0|+4|-4,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0008,8,Int16,1|1|1|5|1,0|0|+4|-4,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0008,8,UInt16,1|1|1|5|1,0|0|+4|-4,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0008,8,Int32,1|1|1|5|1,0|0|+4|-4,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0008,8,UInt32,1|1|1|5|1,0|0|+4|-4,PROVAVEL_CAPACIDADE_POPULACIONAL,CANDIDATO
0x0039,57,Float32,-40564819207303300000000000000000|-10141204801825800000000000000000|-40564819207303300000000000000000|-10141204801825800000000000000000|-40564819207303300000000000000000,+30423614405477500000000000000000|-30423614405477500000000000000000|+30423614405477500000000000000000|-30423614405477500000000000000000,CONTADOR_DE_CASAS_ATIVAS,CANDIDATO
