timestampUtc,event,sequence,consecutiveFailures,recoveryMilliseconds,exceptionType,message,innerType,innerMessage
2026-07-28T00:42:11.0129021Z,"UNSTABLE_STARTED",93,1,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:11.5240191Z,"SNAPSHOT_DISCARDED",94,2,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:12.0408456Z,"SNAPSHOT_DISCARDED",95,3,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:12.5527282Z,"SNAPSHOT_DISCARDED",96,4,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:13.0563926Z,"SNAPSHOT_DISCARDED",97,5,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:13.5709954Z,"SNAPSHOT_DISCARDED",98,6,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:14.0845956Z,"SNAPSHOT_DISCARDED",99,7,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:14.5976202Z,"SNAPSHOT_DISCARDED",100,8,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:15.0987719Z,"SNAPSHOT_DISCARDED",101,9,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00140051"
2026-07-28T00:42:15.6155281Z,"SNAPSHOT_DISCARDED",102,10,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000050"
2026-07-28T00:42:16.1279595Z,"SNAPSHOT_DISCARDED",103,11,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000050"
2026-07-28T00:42:16.6414208Z,"SNAPSHOT_DISCARDED",104,12,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000050"
2026-07-28T00:42:17.1545549Z,"SNAPSHOT_DISCARDED",105,13,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000100"
2026-07-28T00:42:17.6566408Z,"SNAPSHOT_DISCARDED",106,14,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000100"
2026-07-28T00:42:18.1600736Z,"SNAPSHOT_DISCARDED",107,15,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000100"
2026-07-28T00:42:18.6745567Z,"SNAPSHOT_DISCARDED",108,16,,"PlayerStateReadException","Unable to read a consistent local-player snapshot.","MemoryReadException","Endereço não legível: 0x00000100"
2026-07-28T00:42:19.1890262Z,"RECOVERED",109,16,8177,"","","",""
